country,period,counterpart_type,Bilateral,Bilateral data,China,China data,Multilateral,Multilateral data,Private,Private data
Developing countries,2010-2014,Bilateral,,22949359110.72,,,,,,
Developing countries,2010-2014,China,,,,4991657735.66,,,,
Developing countries,2010-2014,Multilateral,,,,,,33404760732.9,,
Developing countries,2010-2014,Private,,,,,,,,91982851096.48
Developing countries,2018-2022,Bilateral,28836341393.12,28836341393.12,,,,,,
Developing countries,2018-2022,China,,,20383150594.14,20383150594.14,,,,
Developing countries,2018-2022,Multilateral,,,,,52750730105.62,52750730105.62,,
Developing countries,2018-2022,Private,,,,,,,197230475247.28,197230475247.28
Developing countries,2024-2025 (projected),Bilateral,41464909324.25,,,,,,,
Developing countries,2024-2025 (projected),China,,,45465562803.4,,,,,
Developing countries,2024-2025 (projected),Multilateral,,,,,101199335245.05,,,
Developing countries,2024-2025 (projected),Private,,,,,,,198655659023.7,
Africa,2010-2014,Bilateral,,5067787985.08,,,,,,
Africa,2010-2014,China,,,,2078329688.32,,,,
Africa,2010-2014,Multilateral,,,,,,5237819422.3,,
Africa,2010-2014,Private,,,,,,,,11790694483.56
Africa,2018-2022,Bilateral,7860124002.64,7860124002.64,,,,,,
Africa,2018-2022,China,,,7925514406.78,7925514406.78,,,,
Africa,2018-2022,Multilateral,,,,,12201113482.4,12201113482.4,,
Africa,2018-2022,Private,,,,,,,32123506023.26,32123506023.26
Africa,2024-2025 (projected),Bilateral,10756298439.5,,,,,,,
Africa,2024-2025 (projected),China,,,17498404367.75,,,,,
Africa,2024-2025 (projected),Multilateral,,,,,24020567643.2,,,
Africa,2024-2025 (projected),Private,,,,,,,43286025975.45,
Low income,2010-2014,Bilateral,,606298475.94,,,,,,
Low income,2010-2014,China,,,,472616782.16,,,,
Low income,2010-2014,Multilateral,,,,,,1118632394.94,,
Low income,2010-2014,Private,,,,,,,,356489581.74
Low income,2018-2022,Bilateral,582418136.42,582418136.42,,,,,,
Low income,2018-2022,China,,,1414222315.76,1414222315.76,,,,
Low income,2018-2022,Multilateral,,,,,2205900456.8,2205900456.8,,
Low income,2018-2022,Private,,,,,,,1315793175.94,1315793175.94
Low income,2024-2025 (projected),Bilateral,3867112432.15,,,,,,,
Low income,2024-2025 (projected),China,,,3677030261.4,,,,,
Low income,2024-2025 (projected),Multilateral,,,,,4086193062.7,,,
Low income,2024-2025 (projected),Private,,,,,,,1953321842.75,
Lower middle income,2010-2014,Bilateral,,11529962045.34,,,,,,
Lower middle income,2010-2014,China,,,,2604245845.88,,,,
Lower middle income,2010-2014,Multilateral,,,,,,12447633863.94,,
Lower middle income,2010-2014,Private,,,,,,,,20717167009.0
Lower middle income,2018-2022,Bilateral,14672096581.48,14672096581.48,,,,,,
Lower middle income,2018-2022,China,,,11476892128.14,11476892128.14,,,,
Lower middle income,2018-2022,Multilateral,,,,,23862761545.36,23862761545.36,,
Lower middle income,2018-2022,Private,,,,,,,47826446369.0,47826446369.0
Lower middle income,2024-2025 (projected),Bilateral,24948866473.15,,,,,,,
Lower middle income,2024-2025 (projected),China,,,25219240732.65,,,,,
Lower middle income,2024-2025 (projected),Multilateral,,,,,50282646165.0,,,
Lower middle income,2024-2025 (projected),Private,,,,,,,64136015385.0,
Upper middle income,2010-2014,Bilateral,,10784734717.84,,,,,,
Upper middle income,2010-2014,China,,,,1910022399.88,,,,
Upper middle income,2010-2014,Multilateral,,,,,,19818106146.48,,
Upper middle income,2010-2014,Private,,,,,,,,70909192105.74
Upper middle income,2018-2022,Bilateral,13569040170.24,13569040170.24,,,,,,
Upper middle income,2018-2022,China,,,7472541051.82,7472541051.82,,,,
Upper middle income,2018-2022,Multilateral,,,,,26637413436.66,26637413436.66,,
Upper middle income,2018-2022,Private,,,,,,,148086435902.34,148086435902.34
Upper middle income,2024-2025 (projected),Bilateral,12615333633.85,,,,,,,
Upper middle income,2024-2025 (projected),China,,,16531435660.95,,,,,
Upper middle income,2024-2025 (projected),Multilateral,,,,,46732313424.25,,,
Upper middle income,2024-2025 (projected),Private,,,,,,,132564203018.15,
Afghanistan,2010-2014,Bilateral,,396666.66,,,,,,
Afghanistan,2010-2014,Multilateral,,,,,,11856375.48,,
Afghanistan,2018-2022,Bilateral,1699353.54,1699353.54,,,,,,
Afghanistan,2018-2022,Multilateral,,,,,23381947.34,23381947.34,,
Afghanistan,2024-2025 (projected),Bilateral,66101685.9,,,,,,,
Afghanistan,2024-2025 (projected),Multilateral,,,,,60443312.45,,,
Albania,2010-2014,Bilateral,,50863047.22,,,,,,
Albania,2010-2014,China,,,,3739800.0,,,,
Albania,2010-2014,Multilateral,,,,,,93757561.7,,
Albania,2010-2014,Private,,,,,,,,107455540.26
Albania,2018-2022,Bilateral,70461438.1,70461438.1,,,,,,
Albania,2018-2022,Multilateral,,,,,211001975.66,211001975.66,,
Albania,2018-2022,Private,,,,,,,222324732.16,222324732.16
Albania,2024-2025 (projected),Bilateral,120861586.6,,,,,,,
Albania,2024-2025 (projected),Multilateral,,,,,367959474.7,,,
Albania,2024-2025 (projected),Private,,,,,,,513027880.05,
Algeria,2010-2014,Bilateral,,275222306.64,,,,,,
Algeria,2010-2014,China,,,,268583.88,,,,
Algeria,2010-2014,Multilateral,,,,,,2642452.12,,
Algeria,2010-2014,Private,,,,,,,,134534160.5
Algeria,2018-2022,Bilateral,79276432.38,79276432.38,,,,,,
Algeria,2018-2022,Multilateral,,,,,35982246.48,35982246.48,,
Algeria,2018-2022,Private,,,,,,,6723057.18,6723057.18
Algeria,2024-2025 (projected),Bilateral,20875480.5,,,,,,,
Algeria,2024-2025 (projected),Multilateral,,,,,72036359.25,,,
Angola,2010-2014,Bilateral,,397797548.62,,,,,,
Angola,2010-2014,China,,,,962783200.0,,,,
Angola,2010-2014,Multilateral,,,,,,20689885.64,,
Angola,2010-2014,Private,,,,,,,,2898675992.1
Angola,2018-2022,Bilateral,520276032.7,520276032.7,,,,,,
Angola,2018-2022,China,,,2932221000.0,2932221000.0,,,,
Angola,2018-2022,Multilateral,,,,,172065588.88,172065588.88,,
Angola,2018-2022,Private,,,,,,,5136693045.86,5136693045.86
Angola,2024-2025 (projected),Bilateral,274426011.75,,,,,,,
Angola,2024-2025 (projected),China,,,6438921524.55,,,,,
Angola,2024-2025 (projected),Multilateral,,,,,568925992.7,,,
Angola,2024-2025 (projected),Private,,,,,,,5300455502.4,
Argentina,2010-2014,Bilateral,,401462315.7,,,,,,
Argentina,2010-2014,China,,,,94949800.0,,,,
Argentina,2010-2014,Multilateral,,,,,,2248127127.06,,
Argentina,2010-2014,Private,,,,,,,,5292602083.38
Argentina,2018-2022,Bilateral,738290671.56,738290671.56,,,,,,
Argentina,2018-2022,China,,,798153200.0,798153200.0,,,,
Argentina,2018-2022,Multilateral,,,,,2570514908.3,2570514908.3,,
Argentina,2018-2022,Private,,,,,,,12141974648.72,12141974648.72
Argentina,2024-2025 (projected),Bilateral,426011358.25,,,,,,,
Argentina,2024-2025 (projected),China,,,10871899555.6,,,,,
Argentina,2024-2025 (projected),Multilateral,,,,,4899958368.45,,,
Argentina,2024-2025 (projected),Private,,,,,,,2156404852.35,
Armenia,2010-2014,Bilateral,,130040663.54,,,,,,
Armenia,2010-2014,Multilateral,,,,,,39553106.98,,
Armenia,2010-2014,Private,,,,,,,,8521143.42
Armenia,2018-2022,Bilateral,95047597.98,95047597.98,,,,,,
Armenia,2018-2022,China,,,1233886.32,1233886.32,,,,
Armenia,2018-2022,Multilateral,,,,,198015312.4,198015312.4,,
Armenia,2018-2022,Private,,,,,,,174737240.7,174737240.7
Armenia,2024-2025 (projected),Bilateral,173540677.1,,,,,,,
Armenia,2024-2025 (projected),China,,,1762374.1,,,,,
Armenia,2024-2025 (projected),Multilateral,,,,,349685973.05,,,
Armenia,2024-2025 (projected),Private,,,,,,,225548901.6,
Azerbaijan,2010-2014,Bilateral,,108068201.24,,,,,,
Azerbaijan,2010-2014,Multilateral,,,,,,176201645.02,,
Azerbaijan,2010-2014,Private,,,,,,,,225840426.6
Azerbaijan,2018-2022,Bilateral,172028775.9,172028775.9,,,,,,
Azerbaijan,2018-2022,Multilateral,,,,,824300763.06,824300763.06,,
Azerbaijan,2018-2022,Private,,,,,,,648718820.6,648718820.6
Azerbaijan,2024-2025 (projected),Bilateral,89686052.65,,,,,,,
Azerbaijan,2024-2025 (projected),Multilateral,,,,,982813622.35,,,
Azerbaijan,2024-2025 (projected),Private,,,,,,,1443909168.8,
Bangladesh,2010-2014,Bilateral,,402208543.7,,,,,,
Bangladesh,2010-2014,China,,,,13997823.26,,,,
Bangladesh,2010-2014,Multilateral,,,,,,849730010.98,,
Bangladesh,2010-2014,Private,,,,,,,,42463812.86
Bangladesh,2018-2022,Bilateral,360421493.0,360421493.0,,,,,,
Bangladesh,2018-2022,China,,,163825849.98,163825849.98,,,,
Bangladesh,2018-2022,Multilateral,,,,,1403167685.26,1403167685.26,,
Bangladesh,2018-2022,Private,,,,,,,434482924.38,434482924.38
Bangladesh,2024-2025 (projected),Bilateral,1705401871.55,,,,,,,
Bangladesh,2024-2025 (projected),China,,,674364813.05,,,,,
Bangladesh,2024-2025 (projected),Multilateral,,,,,3240740859.4,,,
Bangladesh,2024-2025 (projected),Private,,,,,,,1076629472.7,
Belarus,2010-2014,Bilateral,,618725726.58,,,,,,
Belarus,2010-2014,China,,,,178809685.8,,,,
Belarus,2010-2014,Multilateral,,,,,,343892899.9,,
Belarus,2010-2014,Private,,,,,,,,903567057.24
Belarus,2018-2022,Bilateral,1210458395.18,1210458395.18,,,,,,
Belarus,2018-2022,China,,,842361626.96,842361626.96,,,,
Belarus,2018-2022,Multilateral,,,,,566082695.34,566082695.34,,
Belarus,2018-2022,Private,,,,,,,983878438.74,983878438.74
Belarus,2024-2025 (projected),Bilateral,1578520297.75,,,,,,,
Belarus,2024-2025 (projected),China,,,1058012668.3,,,,,
Belarus,2024-2025 (projected),Multilateral,,,,,656214925.2,,,
Belarus,2024-2025 (projected),Private,,,,,,,288504020.5,
Belize,2010-2014,Bilateral,,19607964.04,,,,,,
Belize,2010-2014,Multilateral,,,,,,25883267.98,,
Belize,2010-2014,Private,,,,,,,,47312780.6
Belize,2018-2022,Bilateral,14722243.54,14722243.54,,,,,,
Belize,2018-2022,Multilateral,,,,,45152491.06,45152491.06,,
Belize,2018-2022,Private,,,,,,,128055000.0,128055000.0
Belize,2024-2025 (projected),Bilateral,65430551.5,,,,,,,
Belize,2024-2025 (projected),Multilateral,,,,,68975590.8,,,
Belize,2024-2025 (projected),Private,,,,,,,22525624.2,
Benin,2010-2014,Bilateral,,3732241.48,,,,,,
Benin,2010-2014,China,,,,13641127.7,,,,
Benin,2010-2014,Multilateral,,,,,,40594849.34,,
Benin,2018-2022,Bilateral,25274769.48,25274769.48,,,,,,
Benin,2018-2022,China,,,13569275.58,13569275.58,,,,
Benin,2018-2022,Multilateral,,,,,136030673.66,136030673.66,,
Benin,2018-2022,Private,,,,,,,184028962.56,184028962.56
Benin,2024-2025 (projected),Bilateral,117096111.05,,,,,,,
Benin,2024-2025 (projected),China,,,73383758.4,,,,,
Benin,2024-2025 (projected),Multilateral,,,,,263293100.0,,,
Benin,2024-2025 (projected),Private,,,,,,,505294991.9,
Bhutan,2010-2014,Bilateral,,81441971.12,,,,,,
Bhutan,2010-2014,Multilateral,,,,,,11469946.5,,
Bhutan,2010-2014,Private,,,,,,,,1873923.74
Bhutan,2018-2022,Bilateral,58919397.1,58919397.1,,,,,,
Bhutan,2018-2022,Multilateral,,,,,28720807.86,28720807.86,,
Bhutan,2018-2022,Private,,,,,,,6616349.4,6616349.4
Bhutan,2024-2025 (projected),Bilateral,312963445.95,,,,,,,
Bhutan,2024-2025 (projected),Multilateral,,,,,48207421.3,,,
Bhutan,2024-2025 (projected),Private,,,,,,,3397875.0,
Bolivia,2010-2014,Bilateral,,76268443.28,,,,,,
Bolivia,2010-2014,China,,,,8118958.84,,,,
Bolivia,2010-2014,Multilateral,,,,,,208007710.14,,
Bolivia,2010-2014,Private,,,,,,,,33022277.86
Bolivia,2018-2022,Bilateral,14932118.52,14932118.52,,,,,,
Bolivia,2018-2022,China,,,83651842.78,83651842.78,,,,
Bolivia,2018-2022,Multilateral,,,,,606264725.96,606264725.96,,
Bolivia,2018-2022,Private,,,,,,,272608991.7,272608991.7
Bolivia,2024-2025 (projected),Bilateral,59392111.35,,,,,,,
Bolivia,2024-2025 (projected),China,,,110134816.9,,,,,
Bolivia,2024-2025 (projected),Multilateral,,,,,1041147223.2,,,
Bolivia,2024-2025 (projected),Private,,,,,,,117596934.5,
Bosnia and Herzegovina,2010-2014,Bilateral,,37455651.08,,,,,,
Bosnia and Herzegovina,2010-2014,Multilateral,,,,,,161026143.56,,
Bosnia and Herzegovina,2010-2014,Private,,,,,,,,51929411.62
Bosnia and Herzegovina,2018-2022,Bilateral,84826596.44,84826596.44,,,,,,
Bosnia and Herzegovina,2018-2022,Multilateral,,,,,344052067.08,344052067.08,,
Bosnia and Herzegovina,2018-2022,Private,,,,,,,42434373.2,42434373.2
Bosnia and Herzegovina,2024-2025 (projected),Bilateral,134863273.6,,,,,,,
Bosnia and Herzegovina,2024-2025 (projected),Multilateral,,,,,529926683.55,,,
Bosnia and Herzegovina,2024-2025 (projected),Private,,,,,,,35718261.9,
Botswana,2010-2014,Bilateral,,7757221.4,,,,,,
Botswana,2010-2014,China,,,,12917904.26,,,,
Botswana,2010-2014,Multilateral,,,,,,67879661.92,,
Botswana,2010-2014,Private,,,,,,,,306400.0
Botswana,2018-2022,Bilateral,5862239.86,5862239.86,,,,,,
Botswana,2018-2022,China,,,5858430.1,5858430.1,,,,
Botswana,2018-2022,Multilateral,,,,,151944679.16,151944679.16,,
Botswana,2018-2022,Private,,,,,,,2717600.0,2717600.0
Botswana,2024-2025 (projected),Bilateral,2350489.1,,,,,,,
Botswana,2024-2025 (projected),Multilateral,,,,,246688332.65,,,
Brazil,2010-2014,Bilateral,,641488318.1,,,,,,
Brazil,2010-2014,China,,,,329006800.0,,,,
Brazil,2010-2014,Multilateral,,,,,,3922188886.4,,
Brazil,2010-2014,Private,,,,,,,,11834819317.54
Brazil,2018-2022,Bilateral,629169376.02,629169376.02,,,,,,
Brazil,2018-2022,China,,,2053103000.0,2053103000.0,,,,
Brazil,2018-2022,Multilateral,,,,,3283460710.06,3283460710.06,,
Brazil,2018-2022,Private,,,,,,,27382549063.52,27382549063.52
Brazil,2024-2025 (projected),Bilateral,646754793.75,,,,,,,
Brazil,2024-2025 (projected),China,,,858700333.3,,,,,
Brazil,2024-2025 (projected),Multilateral,,,,,4867208269.95,,,
Brazil,2024-2025 (projected),Private,,,,,,,19786270269.85,
