year,country,variable,value,notes
2024,Afghanistan,scenario 1,2986713276.7,constant aid ratios
2024,Africa,scenario 1,12349105856.59999,constant aid ratios
2024,Albania,scenario 1,571028262.6999999,constant aid ratios
2024,Algeria,scenario 1,147071003.9,constant aid ratios
2024,Angola,scenario 1,-8661302954.0,constant aid ratios
2024,Argentina,scenario 1,-21065773578.1,constant aid ratios
2024,Armenia,scenario 1,28093484.30000007,constant aid ratios
2024,Azerbaijan,scenario 1,-3168421563.7,constant aid ratios
2024,Bangladesh,scenario 1,5157385412.700001,constant aid ratios
2024,Belarus,scenario 1,-1753462856.8000002,constant aid ratios
2024,Belize,scenario 1,-52907349.2,constant aid ratios
2024,Benin,scenario 1,1333125747.8,constant aid ratios
2024,Bhutan,scenario 1,-116557913.3000001,constant aid ratios
2024,Bolivia,scenario 1,50834797.39999986,constant aid ratios
2024,Bosnia and Herzegovina,scenario 1,226167262.4,constant aid ratios
2024,Botswana,scenario 1,-115262394.4,constant aid ratios
2024,Brazil,scenario 1,-5765106601.400002,constant aid ratios
2024,Burkina Faso,scenario 1,1422948574.1,constant aid ratios
2024,Burundi,scenario 1,566744459.6,constant aid ratios
2024,Cabo Verde,scenario 1,-10515555.800000012,constant aid ratios
2024,Cambodia,scenario 1,1209487218.6,constant aid ratios
2024,Cameroon,scenario 1,14979876.299999952,constant aid ratios
2024,Central African Republic,scenario 1,721819415.6,constant aid ratios
2024,Chad,scenario 1,795136851.1,constant aid ratios
2024,Colombia,scenario 1,4969560897.099998,constant aid ratios
2024,Comoros,scenario 1,117393871.9,constant aid ratios
2024,Congo Republic,scenario 1,-358028768.29999995,constant aid ratios
2024,Costa Rica,scenario 1,1924597652.0,constant aid ratios
2024,Cote d'Ivoire,scenario 1,1281530648.0000005,constant aid ratios
2024,DR Congo,scenario 1,3545915487.0999994,constant aid ratios
2024,Developing countries,scenario 1,-29163276471.900024,constant aid ratios
2024,Djibouti,scenario 1,243722059.8,constant aid ratios
2024,Dominica,scenario 1,12361168.700000005,constant aid ratios
2024,Dominican Republic,scenario 1,1459994310.0000005,constant aid ratios
2024,Ecuador,scenario 1,-1008730902.5000004,constant aid ratios
2024,Egypt,scenario 1,-4470968048.1,constant aid ratios
2024,El Salvador,scenario 1,422556124.6999998,constant aid ratios
2024,Eritrea,scenario 1,89330486.6,constant aid ratios
2024,Eswatini,scenario 1,83755879.3,constant aid ratios
2024,Ethiopia,scenario 1,-608813139.8999996,constant aid ratios
2024,Fiji,scenario 1,105123924.9,constant aid ratios
2024,Gabon,scenario 1,-109515669.10000002,constant aid ratios
2024,Gambia,scenario 1,297951235.6,constant aid ratios
2024,Georgia,scenario 1,322245789.9999999,constant aid ratios
2024,Ghana,scenario 1,-1347389086.1,constant aid ratios
2024,Grenada,scenario 1,21697007.799999997,constant aid ratios
2024,Guatemala,scenario 1,1046126626.1,constant aid ratios
2024,Guinea,scenario 1,222770563.0999999,constant aid ratios
2024,Guinea-Bissau,scenario 1,134020970.1,constant aid ratios
2024,Guyana,scenario 1,153516599.60000002,constant aid ratios
2024,Haiti,scenario 1,890805222.4,constant aid ratios
2024,Honduras,scenario 1,-243108910.29999995,constant aid ratios
2024,India,scenario 1,-7508872382.499996,constant aid ratios
2024,Indonesia,scenario 1,-13984338528.599998,constant aid ratios
2024,Iran,scenario 1,235588021.9,constant aid ratios
2024,Iraq,scenario 1,-721953257.7999997,constant aid ratios
2024,Jamaica,scenario 1,-473760778.7,constant aid ratios
2024,Jordan,scenario 1,4834981018.200001,constant aid ratios
2024,Kazakhstan,scenario 1,-3124123372.7999997,constant aid ratios
2024,Kenya,scenario 1,-933797550.1000004,constant aid ratios
2024,Kosovo,scenario 1,311004085.59999996,constant aid ratios
2024,Kyrgyz Republic,scenario 1,387298840.0,constant aid ratios
2024,Laos,scenario 1,-1137146067.1,constant aid ratios
2024,Lebanon,scenario 1,-1277209875.8000002,constant aid ratios
2024,Lesotho,scenario 1,144532564.4,constant aid ratios
2024,Liberia,scenario 1,572826464.5,constant aid ratios
2024,Low income,scenario 1,28630741982.5,constant aid ratios
2024,Lower middle income,scenario 1,-6846886511.200012,constant aid ratios
2024,Madagascar,scenario 1,1196692751.5,constant aid ratios
2024,Malawi,scenario 1,1695598733.0,constant aid ratios
2024,Maldives,scenario 1,220214127.6,constant aid ratios
2024,Mali,scenario 1,1182628413.4,constant aid ratios
2024,Mauritania,scenario 1,29242681.699999988,constant aid ratios
2024,Mauritius,scenario 1,457860391.0,constant aid ratios
2024,Mexico,scenario 1,-7016877672.599998,constant aid ratios
2024,Moldova,scenario 1,1245502836.6,constant aid ratios
2024,Mongolia,scenario 1,1027163161.4,constant aid ratios
2024,Montenegro,scenario 1,-91930392.59999996,constant aid ratios
2024,Morocco,scenario 1,-847274910.0,constant aid ratios
2024,Mozambique,scenario 1,2688793081.5,constant aid ratios
2024,Myanmar,scenario 1,250922478.79999995,constant aid ratios
2024,Nepal,scenario 1,972675745.2,constant aid ratios
2024,Nicaragua,scenario 1,102816572.80000009,constant aid ratios
2024,Niger,scenario 1,984170346.1,constant aid ratios
2024,Nigeria,scenario 1,4054980465.4000006,constant aid ratios
2024,North Macedonia,scenario 1,379707625.6999999,constant aid ratios
2024,Pakistan,scenario 1,-6545923775.300001,constant aid ratios
