period,country,counterpart_type,prices,value
2010-2014,Afghanistan,Bilateral,current,396666.66
2010-2014,Afghanistan,Multilateral,current,11856375.48
2010-2014,Africa,Bilateral,current,5067787985.08
2010-2014,Africa,China,current,2078329688.32
2010-2014,Africa,Multilateral,current,5237819422.3
2010-2014,Africa,Private,current,11790694483.56
2010-2014,Albania,Bilateral,current,50863047.22
2010-2014,Albania,China,current,3739800.0
2010-2014,Albania,Multilateral,current,93757561.7
2010-2014,Albania,Private,current,107455540.26
2010-2014,Algeria,Bilateral,current,275222306.64
2010-2014,Algeria,China,current,268583.88
2010-2014,Algeria,Multilateral,current,2642452.12
2010-2014,Algeria,Private,current,134534160.5
2010-2014,Angola,Bilateral,current,397797548.62
2010-2014,Angola,China,current,962783200.0
2010-2014,Angola,Multilateral,current,20689885.64
2010-2014,Angola,Private,current,2898675992.1
2010-2014,Argentina,Bilateral,current,401462315.7
2010-2014,Argentina,China,current,94949800.0
2010-2014,Argentina,Multilateral,current,2248127127.06
2010-2014,Argentina,Private,current,5292602083.38
2010-2014,Armenia,Bilateral,current,130040663.54
2010-2014,Armenia,Multilateral,current,39553106.98
2010-2014,Armenia,Private,current,8521143.42
2010-2014,Azerbaijan,Bilateral,current,108068201.24
2010-2014,Azerbaijan,Multilateral,current,176201645.02
2010-2014,Azerbaijan,Private,current,225840426.6
2010-2014,Bangladesh,Bilateral,current,402208543.7
2010-2014,Bangladesh,China,current,13997823.26
2010-2014,Bangladesh,Multilateral,current,849730010.98
2010-2014,Bangladesh,Private,current,42463812.86
2010-2014,Belarus,Bilateral,current,618725726.58
2010-2014,Belarus,China,current,178809685.8
2010-2014,Belarus,Multilateral,current,343892899.9
2010-2014,Belarus,Private,current,903567057.24
2010-2014,Belize,Bilateral,current,19607964.04
2010-2014,Belize,Multilateral,current,25883267.98
2010-2014,Belize,Private,current,47312780.6
2010-2014,Benin,Bilateral,current,3732241.48
2010-2014,Benin,China,current,13641127.7
2010-2014,Benin,Multilateral,current,40594849.34
2010-2014,Bhutan,Bilateral,current,81441971.12
2010-2014,Bhutan,Multilateral,current,11469946.5
2010-2014,Bhutan,Private,current,1873923.74
2010-2014,Bolivia,Bilateral,current,76268443.28
2010-2014,Bolivia,China,current,8118958.84
2010-2014,Bolivia,Multilateral,current,208007710.14
2010-2014,Bolivia,Private,current,33022277.86
2010-2014,Bosnia and Herzegovina,Bilateral,current,37455651.08
2010-2014,Bosnia and Herzegovina,Multilateral,current,161026143.56
2010-2014,Bosnia and Herzegovina,Private,current,51929411.62
2010-2014,Botswana,Bilateral,current,7757221.4
2010-2014,Botswana,China,current,12917904.26
2010-2014,Botswana,Multilateral,current,67879661.92
2010-2014,Botswana,Private,current,306400.0
2010-2014,Brazil,Bilateral,current,641488318.1
2010-2014,Brazil,China,current,329006800.0
2010-2014,Brazil,Multilateral,current,3922188886.4
