year,country,continent,income_level,prices,indicator_type,net flows (current US$),flow_type,entity_code,"GNI, Atlas method (current US$)",net flows as % of GNI
2023,Afghanistan,Asia,Low income,current,net_flow,3103522391.0,all flows,AFG,15613673958.5595,19.87695144164729
2023,Albania,Europe,Upper middle income,current,net_flow,831934705.0,all flows,ALB,21085728668.9891,3.9454871020109965
2023,Algeria,Africa,Upper middle income,current,net_flow,132617948.9,all flows,DZA,228481173657.541,0.058043271914724325
2023,Angola,Africa,Lower middle income,current,net_flow,-6576214659.7,all flows,AGO,78048984686.834,-8.42575298844257
2023,Argentina,America,Upper middle income,current,net_flow,-2090500391.1000004,all flows,ARG,586900838956.78,-0.35619311685017835
2023,Armenia,Asia,Upper middle income,current,net_flow,-96124657.0999999,all flows,ARM,20271184637.3755,-0.4741935847339069
2023,Azerbaijan,Asia,Upper middle income,current,net_flow,-1223339610.3000002,all flows,AZE,67644748293.1306,-1.8084768458281508
2023,Bangladesh,Asia,Lower middle income,current,net_flow,7105406551.6,all flows,BGD,493931962471.176,1.4385395340789764
2023,Belarus,Europe,Upper middle income,current,net_flow,-2354974059.1,all flows,BLR,71537964249.8465,-3.2919221056881742
2023,Belize,America,Upper middle income,current,net_flow,22874449.200000003,all flows,BLZ,2833194956.38381,0.8073729324012402
2023,Benin,Africa,Lower middle income,current,net_flow,1464049955.9,all flows,BEN,19610877128.0441,7.465499611979965
2023,Bhutan,Asia,Lower middle income,current,net_flow,118018514.0,all flows,BTN,,
2023,Bolivia,America,Lower middle income,current,net_flow,-131519465.9000001,all flows,BOL,44317641753.2457,-0.2967654881825204
2023,Bosnia and Herzegovina,Europe,Upper middle income,current,net_flow,89149469.79999995,all flows,BIH,26361981841.587,0.3381743843680347
2023,Botswana,Africa,Upper middle income,current,net_flow,-87069264.6,all flows,BWA,20694114857.1621,-0.42074408691061205
2023,Brazil,America,Upper middle income,current,net_flow,-10914378424.8,all flows,BRA,1959785256812.05,-0.5569170595024393
2023,Burkina Faso,Africa,Low income,current,net_flow,1589081959.1,all flows,BFA,19697494427.106,8.067431951716873
2023,Burundi,Africa,Low income,current,net_flow,602320863.9,all flows,BDI,3032580386.16075,19.861661924897525
2023,Cabo Verde,Africa,Lower middle income,current,net_flow,16158723.099999994,all flows,CPV,2496047164.26938,0.6473725068704712
2023,Cambodia,Asia,Lower middle income,current,net_flow,1533085047.5,all flows,KHM,41658227478.8178,3.6801494933492704
2023,Cameroon,Africa,Lower middle income,current,net_flow,285498173.10000014,all flows,CMR,47905444552.8735,0.5959618489395173
2023,Central African Republic,Africa,Low income,current,net_flow,738491396.4,all flows,CAF,2710741791.49977,27.243147935215745
2023,Chad,Africa,Low income,current,net_flow,823552853.2,all flows,TCD,12999923870.1574,6.335059046696006
2023,Colombia,America,Upper middle income,current,net_flow,1128892973.1999989,all flows,COL,356116258547.67,0.3170012449877754
2023,Comoros,Africa,Lower middle income,current,net_flow,144604938.6,all flows,COM,1366416849.96979,10.582783621498598
2023,Congo Republic,Africa,Lower middle income,current,net_flow,-224125054.19999993,all flows,COG,15144181834.2659,-1.4799416479065552
2023,Costa Rica,America,Upper middle income,current,net_flow,856339636.3999996,all flows,CRI,72788330406.7829,1.176479294983527
2023,Cote d'Ivoire,Africa,Lower middle income,current,net_flow,2121304074.3,all flows,CIV,76938116005.6078,2.757156250284819
2023,DR Congo,Africa,Low income,current,net_flow,4002917994.3,all flows,COD,67082242168.6331,5.967179785430188
2023,Djibouti,Africa,Lower middle income,current,net_flow,420232860.99999994,all flows,DJI,3921774065.18753,10.715376613106992
2023,Dominica,America,Upper middle income,current,net_flow,30921020.4,all flows,DMA,651217745.774612,4.748184551270174
2023,Dominican Republic,America,Upper middle income,current,net_flow,698314664.1000009,all flows,DOM,109970079310.192,0.6350042379530059
2023,Ecuador,America,Upper middle income,current,net_flow,172175500.3000002,all flows,ECU,118411862812.63,0.1454039284665621
2023,Egypt,Africa,Lower middle income,current,net_flow,1037987616.5999984,all flows,EGY,439283081783.312,0.23629127996147442
2023,El Salvador,America,Upper middle income,current,net_flow,-12216760.80000019,all flows,SLV,31320391044.6757,-0.03900577353128857
2023,Eritrea,Africa,Low income,current,net_flow,114890058.3,all flows,ERI,,
2023,Eswatini,Africa,Lower middle income,current,net_flow,104194912.1,all flows,SWZ,4538254139.26607,2.2959250165935057
2023,Ethiopia,Africa,Low income,current,net_flow,7141705909.1,all flows,ETH,142605284059.216,5.008023339538
